1,SW2,C&K_AP_PUSHBUTTON
6,D1-6,CLVBA-FKA
3,J7 J14-15,HEADER-7X1
4,H1-4,HOLE-0.125
5,D7-11,LTST-C150
1,R20,"RESISTOR-SMALL,1K"
12,R2-3 R5-6 R8-9 R11-12 R14-15 R17-18,"RESISTOR-SMALL,20"
2,R19 R23,"RESISTOR-SMALL,3.7K"
1,R24,"RESISTOR-SMALL,47"
2,R21-22,"RESISTOR-SMALL,500"
6,R1 R4 R7 R10 R13 R16,"RESISTOR-SMALL,72"
2,SW1 SW3,RR1_ROCKER_SWITCH
